"name","value_1","value_2","value_3","rt_1","rt_2","rt_3","p","n","z","f"
"#08_n_pos","Imagine that you are a university student completing an in-person study for extra credit.","The researcher hands you a booklet that explains that, in any given situation, your automatic feelings about the situation come before your thoughts about the situation.","You are then shown a series of images on a computer screen. For each image, you are asked whether you had thoughts or feelings first.",2250,3900,3750,"In any given situation, your automatic thoughts about the situation come before your feelings about the situation.","In any given situation, your automatic feelings about the situation come before your thoughts about the situation.","In any given situation, your feelings and thoughts about the situation emerge at the exact same time.","In any given situation, it is equally important to communicate your feelings as well as your thoughts."
"#08_n_fol","Imagine that you are a university student completing an in-person study for extra credit.","The researcher hands you a booklet that explains that, in any given situation, your automatic feelings about the situation come before your thoughts about the situation.","A week after you read this booklet, you are shown a series of images on a computer screen. For each image, you are asked whether you had thoughts or feelings first.",2250,3900,4650,"In any given situation, your automatic thoughts about the situation come before your feelings about the situation.","In any given situation, your automatic feelings about the situation come before your thoughts about the situation.","In any given situation, your feelings and thoughts about the situation emerge at the exact same time.","In any given situation, it is equally important to communicate your feelings as well as your thoughts."
"#08_p_drq","Imagine that you are a university student completing an in-person study for extra credit.","The researcher hands you a booklet that explains that, in any given situation, your automatic thoughts about the situation come before your feelings about the situation.","A week after you read this booklet, you are asked to (1) describe 3 life events from the past week, (2) write down all the thoughts and feelings you had during the event, and (3) indicate for each event whether you had thoughts or feelings first.",2250,3900,6900,"In any given situation, your automatic thoughts about the situation come before your feelings about the situation.","In any given situation, your automatic feelings about the situation come before your thoughts about the situation.","In any given situation, your feelings and thoughts about the situation emerge at the exact same time.","In any given situation, it is equally important to communicate your feelings as well as your thoughts."
"#08_n_drq","Imagine that you are a university student completing an in-person study for extra credit.","The researcher hands you a booklet that explains that, in any given situation, your automatic feelings about the situation come before your thoughts about the situation.","A week after you read this booklet, you are asked to (1) describe 3 life events from the past week, (2) write down all the thoughts and feelings you had during the event, and (3) indicate for each event whether you had thoughts or feelings first.",2250,3900,6900,"In any given situation, your automatic thoughts about the situation come before your feelings about the situation.","In any given situation, your automatic feelings about the situation come before your thoughts about the situation.","In any given situation, your feelings and thoughts about the situation emerge at the exact same time.","In any given situation, it is equally important to communicate your feelings as well as your thoughts."
"#09_p_sat","Imagine that you are a university student completing a study as a volunteer or for extra credit.","The researcher asks you to imagine having a serious disagreement about a close friend. You then read several statements that are similar to the following: “Disagreeing means that our relationship is not good.” The researcher then tells you they expect that saying and believing these statements will make you feel better about your relationship.","After reading the statements, you are asked to report how satisfied you are with your relationship with the close friend.",2550,8100,3000,"Reading and believing the set of statements created by the researcher will make you feel better about your relationship with your friend.","Reading and believing the set of statements created by the researcher will make you feel worse about your relationship with your friend.","Reading and believing the set of statements created by the researcher will not impact how you feel about your relationship with your friend.","Reading and believing the set of statements created by the researcher will inspire you to make more friends."
"#09_n_sat","Imagine that you are a university student completing a study as a volunteer or for extra credit.","The researcher asks you to imagine having a serious disagreement about a close friend. You then read several statements that are similar to the following: “Disagreeing does not mean that our relationship is not good.” The researcher then tells you they expect that saying and believing these statements will make you feel worse about your relationship.","After reading the statements, you are asked to report how satisfied you are with your relationship with the close friend.",2550,8400,3000,"Reading and believing the set of statements created by the researcher will make you feel better about your relationship with your friend.","Reading and believing the set of statements created by the researcher will make you feel worse about your relationship with your friend.","Reading and believing the set of statements created by the researcher will not impact how you feel about your relationship with your friend.","Reading and believing the set of statements created by the researcher will inspire you to make more friends."
"#11_p_hap","Imagine that you are a university student completing an in-person study for course credit.","The researcher informs you that they expect posing happy expressions to increase feelings of happiness.","You pose happy, neutral, and angry expressions and then self-report how happy you feel.",2250,2250,2250,"Posing happy expressions will increase feelings of happiness, and posing angry expressions will increase feelings of anger.","Posing happy expressions will decrease feelings of happiness, and posing angry expressions will decrease feelings of anger.","Posing happy expressions will not increase feelings of happiness, and posing angry expressions will not increase feelings of anger","Posing happy expressions will increase hunger, and posing angry expressions will increase thirst."
"#11_z_hap","Imagine that you are a university student completing an in-person study for course credit.","The researcher informs you that they expect posing happy expressions to have no effect on your feelings of happiness.","You pose happy, neutral, and angry expressions and then self-report how happy you feel.",2250,2850,2250,"Posing happy expressions will increase feelings of happiness, and posing angry expressions will increase feelings of anger.","Posing happy expressions will decrease feelings of happiness, and posing angry expressions will decrease feelings of anger.","Posing happy expressions will not increase feelings of happiness, and posing angry expressions will not increase feelings of anger","Posing happy expressions will increase hunger, and posing angry expressions will increase thirst."
"#11_p_ang","Imagine that you are a university student completing an in-person study for course credit.","The researcher informs you that they expect posing angry expressions to increase feelings of anger.","You pose happy, neutral, and angry expressions and then self-report how angry you feel.",2250,2250,2250,"Posing happy expressions will increase feelings of happiness, and posing angry expressions will increase feelings of anger.","Posing happy expressions will decrease feelings of happiness, and posing angry expressions will decrease feelings of anger.","Posing happy expressions will not increase feelings of happiness, and posing angry expressions will not increase feelings of anger","Posing happy expressions will increase hunger, and posing angry expressions will increase thirst."
"#11_z_ang","Imagine that you are a university student completing an in-person study for course credit.","The researcher informs you that they expect posing angry expressions to have no effect on your feelings of anger.","You pose happy, neutral, and angry expressions and then self-report how angry you feel.",2250,2850,2250,"Posing happy expressions will increase feelings of happiness, and posing angry expressions will increase feelings of anger.","Posing happy expressions will decrease feelings of happiness, and posing angry expressions will decrease feelings of anger.","Posing happy expressions will not increase feelings of happiness, and posing angry expressions will not increase feelings of anger","Posing happy expressions will increase hunger, and posing angry expressions will increase thirst."
"#12_p_hap","Imagine that you are a university student completing an online study for course credit.","You are informed that the researcher expects posing happy expressions to increase feelings of happiness.","You pose happy, neutral, and angry expressions and then self-report how happy you feel.",2100,2250,2250,"Posing happy expressions will increase feelings of happiness, and posing angry expressions will increase feelings of anger.","Posing happy expressions will decrease feelings of happiness, and posing angry expressions will decrease feelings of anger.","Posing happy expressions will not increase feelings of happiness, and posing angry expressions will not increase feelings of anger.","Posing happy expressions will make you tired, and posing angry expressions will make you alert."
"#12_z_hap","Imagine that you are a university student completing an in-person study for course credit.","You are informed that the researcher expects posing happy expressions to have no effect on your feelings of happiness.","You pose happy, neutral, and angry expressions and then self-report how happy you feel.",2250,2850,2250,"Posing happy expressions will increase feelings of happiness, and posing angry expressions will increase feelings of anger.","Posing happy expressions will decrease feelings of happiness, and posing angry expressions will decrease feelings of anger.","Posing happy expressions will not increase feelings of happiness, and posing angry expressions will not increase feelings of anger.","Posing happy expressions will make you tired, and posing angry expressions will make you alert."
"#12_p_ang","Imagine that you are a university student completing an in-person study for course credit.","You are informed that the researcher expects posing angry expressions to increase feelings of anger.","You pose happy, neutral, and angry expressions and then self-report how angry you feel.",2250,2250,2250,"Posing happy expressions will increase feelings of happiness, and posing angry expressions will increase feelings of anger.","Posing happy expressions will decrease feelings of happiness, and posing angry expressions will decrease feelings of anger.","Posing happy expressions will not increase feelings of happiness, and posing angry expressions will not increase feelings of anger.","Posing happy expressions will make you tired, and posing angry expressions will make you alert."
