scenario_description_1/3,scenario_description_2/3,scenario_description_3/3,hypothesis_check_item1,hypothesis_check_item2,hypothesis_check_item3,hypothesis_check_item4
Imagine that you are a university student completing an in-person study for payment.,"The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you are shown a spinning spiral before shifting your gaze to a stationary spiral. This creates the illusion that the stationary spiral is spinning, and you are asked to report how long this illusion persists.","Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
Imagine that you are a university student completing an in-person study for payment.,"The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you complete a logical deductions test.","Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
Imagine that you are a university student completing an in-person study for payment.,"The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you are asked to report whether you experienced any perceptual aberrations.","Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
Imagine that you are a university student completing an in-person study for payment.,"The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you are asked to report if you experienced any intellectual dullness.","Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
Imagine that you are a university student completing an in-person study for payment.,"The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you are asked to report if you experienced any unpleasant emotions.","Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
Imagine that you are a university student completing an in-person study for payment.,"The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you are asked to report if you experienced any anxiety.","Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
Imagine that you are a university student completing an in-person study for payment.,"The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you are asked to report if you experienced any spatial disorientation.","Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
Imagine that you are a university student completing an in-person study for payment.,"The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterwards, you are asked to report if you experienced any restlessness.","Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
Imagine that you are a university student completing an in-person study for payment.,"The researcher tells you that you will be placed in a sensory deprivation room. They then inform you that the following experiences are not unusual while in such a room: visual imagery, fantasies, special or unusual feelings, difficulties in concentration, hallucinations, and/or feelings of disorientation.","For 4 hours, you are left in the room. Afterward, you are asked to report if you experienced any irritability.","Sensory deprivation chambers often lead to increases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers often lead to decreases in the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers have no impact on the perception of unusual sights, sounds, feelings, and lapses in concentration.","Sensory deprivation chambers increase relaxation, concentration, and lucidity."
Imagine that you are completing an in-person study as a volunteer.,The researcher informs you that they expect exposure to the color purple to increase food intake.,"You are presented with a bowl of cookies and asked to rate them on a sheet, which is purple. You are given 10 minutes to complete this task, wherein you can taste and eat as many cookies as you would like.",Exposure to the color purple will increase food intake.,Exposure to the color purple will decrease food intake.,Exposure to the color purple will have no impact on food intake.,Exposure to the color purple will increase happiness.
Imagine that you are completing an in-person study for $5 payment.,"The researcher informs you that you will view an optical illusion wherein the orientation of the image appears to shift. After completing a measure of your ability to be hypnotized, the researcher says they believe people like you have a great ability to perceive a shift in the image.","You view the optical illusion for one minute, and you are asked to report how many times you see the image orientation shift.",People like you have a great ability to perceive a shift in the optical illusion.,People like you have a great ability to avoid perceiving a shift in the optical illusion.,Your ability to perceive shifts in the optical illusion are normal.,People like you have a great ability to memorize musical melodies.
Imagine that you are completing an in-person study for $5 payment.,"The researcher informs you that you will view an optical illusion wherein the orientation of the image appears to shift. After completing a measure of your ability to be hypnotized, the researcher says they believe people like you have a great ability to avoid perceiving a shift in the image.","You view the optical illusion for one minute, and you are asked to report how many times you see the image orientation shift.",People like you have a great ability to perceive a shift in the optical illusion.,People like you have a great ability to avoid perceiving a shift in the optical illusion.,Your ability to perceive shifts in the optical illusion are normal.,People like you have a great ability to memorize musical melodies.
Imagine that you are completing an in-person study as a volunteer or for extra credit.,The researcher tells you that you will complete a challenging visual perception test while undergoing a brain stimulation procedure. They subsequently explain why they believe this brain stimulation will improve your performance.,"You complete the visual perception test. Each time you make an error, you are asked to report whether your response was impacted by the brain stimulation.",A brain stimulation procedure will improve your performance.,A brain stimulation procedure will impair your performance.,A brain stimulation procedure will not impact your performance.,A brain stimulation procedure will make you lose your appetite.
Imagine that you are completing an in-person study as a volunteer or for extra credit.,The researcher tells you that you will complete a challenging visual perception test while undergoing a brain stimulation procedure. They subsequently explain why they believe this brain stimulation will impair your performance.,"You complete the visual perception test. Each time you make an error, you are asked to report whether your response was impacted by the brain stimulation.",A brain stimulation procedure will improve your performance.,A brain stimulation procedure will impair your performance.,A brain stimulation procedure will not impact your performance.,A brain stimulation procedure will make you lose your appetite.
Imagine that you are completing an in-person study as a volunteer or for extra credit.,The researcher tells you that you will complete a challenging visual perception test while undergoing a brain stimulation procedure. They subsequently explain why they believe this brain stimulation will improve your performance.,"You complete the visual perception test. Afterwards, you are asked to report whether your performance was impacted by the brain stimulation.",A brain stimulation procedure will improve your performance.,A brain stimulation procedure will impair your performance.,A brain stimulation procedure will not impact your performance.,A brain stimulation procedure will make you lose your appetite.
Imagine that you are completing an in-person study as a volunteer or for extra credit.,The researcher tells you that you will complete a challenging visual perception test while undergoing a brain stimulation procedure. They subsequently explain why they believe this brain stimulation will impair your performance.,"You complete the visual perception test. Afterwards, you are asked to report whether your performance was impacted by the brain stimulation.",A brain stimulation procedure will improve your performance.,A brain stimulation procedure will impair your performance.,A brain stimulation procedure will not impact your performance.,A brain stimulation procedure will make you lose your appetite.
Imagine that you are completing an in-person study as a volunteer or for extra credit.,The researcher tells you that you will complete a challenging visual perception test while undergoing a brain stimulation procedure. They subsequently explain why they believe this brain stimulation will improve your performance.,"You complete the visual perception test, and the number of errors you make is measured.",A brain stimulation procedure will improve your performance.,A brain stimulation procedure will impair your performance.,A brain stimulation procedure will not impact your performance.,A brain stimulation procedure will make you lose your appetite.
Imagine that you are completing an in-person study as a volunteer or for extra credit.,The researcher tells you that you will complete a challenging visual perception test while undergoing a brain stimulation procedure. They subsequently explain why they believe this brain stimulation will impair your performance.,"You complete the visual perception test, and the number of errors you make is measured.",A brain stimulation procedure will improve your performance.,A brain stimulation procedure will impair your performance.,A brain stimulation procedure will not impact your performance.,A brain stimulation procedure will make you lose your appetite.
Imagine that you are completing an in-person study as a volunteer or for extra credit.,The researcher tells you that you will complete a challenging visual perception test while undergoing a brain stimulation procedure. They subsequently explain why they believe this brain stimulation will improve your performance.,"You complete the visual perception test, and the speed in which you complete the task is measured.",A brain stimulation procedure will improve your performance.,A brain stimulation procedure will impair your performance.,A brain stimulation procedure will not impact your performance.,A brain stimulation procedure will make you lose your appetite.
Imagine that you are completing an in-person study as a volunteer or for extra credit.,The researcher tells you that you will complete a challenging visual perception test while undergoing a brain stimulation procedure. They subsequently explain why they believe this brain stimulation will impair your performance.,"You complete the visual perception test, and the speed in which you complete the task is measured.",A brain stimulation procedure will improve your performance.,A brain stimulation procedure will impair your performance.,A brain stimulation procedure will not impact your performance.,A brain stimulation procedure will make you lose your appetite.
Imagine that you are a university student completing an in-person study as a volunteer or for course credit.,The researcher informs you that previous research has shown that green and blue colors will relax you and thus make unpleasant sounds more tolerable.,"You sit in front of a green or blue screen, listen to three unpleasant sounds, and rate how uncomfortable they make you feel.",Green and blue colors will make unpleasant sounds more tolerable.,Green and blue colors will make unpleasant sounds less tolerable.,Green and blue colors will not impact the tolerability of unpleasant sounds.,Green and blue colors will make pleasant tastes more pronounced.
Imagine that you are a university student completing an in-person study as a volunteer or for extra credit.,"The researcher walks you to a hill and asks you to put on a heavy backpack. Afterwards, they tell you they expect the backpack to have no impact on your perception of the steepness of the hill.","While you stand at the bottom of the hill with the heavy backpack on, the researcher then asks you to verbally report how steep the hill is.",A heavy backpack you will wear will make a hill appear more steep.,A heavy backpack you will wear will make a hill appear less steep.,A heavy backpack you will wear will have no impact on your perception of the steepness of the hill.,A heavy backpack you will wear will have no impact on how much you sweat while climbing a hill.
Imagine that you are a university student completing an in-person study as a volunteer or for extra credit.,"The researcher walks you to a hill and asks you to put on a heavy backpack. Afterwards, they tell you they expect the backpack to have no impact on your perception of the steepness of the hill.","While you stand at the bottom of the hill with the heavy backpack on, the researcher then asks you to use your hand to convey how steep the hill is.",A heavy backpack you will wear will make a hill appear more steep.,A heavy backpack you will wear will make a hill appear less steep.,A heavy backpack you will wear will have no impact on your perception of the steepness of the hill.,A heavy backpack you will wear will have no impact on how much you sweat while climbing a hill.
Imagine that you are a university student completing an in-person study for extra credit.,"The researcher hands you a booklet that explains that, in any given situation, your automatic thoughts about the situation come before your feelings about the situation.","You are then shown a series of images on a computer screen. For each image, you are asked whether you had thoughts or feelings first.","In any given situation, your automatic thoughts about the situation come before your feelings about the situation.","In any given situation, your automatic feelings about the situation come before your thoughts about the situation.","In any given situation, your feelings and thoughts about the situation emerge at the exact same time.","In any given situation, it is equally important to communicate your feelings as well as your thoughts."
Imagine that you are a university student completing an in-person study for extra credit.,"The researcher hands you a booklet that explains that, in any given situation, your automatic thoughts about the situation come before your feelings about the situation.","A week after you read this booklet, you are shown a series of images on a computer screen. For each image, you are asked whether you had thoughts or feelings first.","In any given situation, your automatic thoughts about the situation come before your feelings about the situation.","In any given situation, your automatic feelings about the situation come before your thoughts about the situation.","In any given situation, your feelings and thoughts about the situation emerge at the exact same time.","In any given situation, it is equally important to communicate your feelings as well as your thoughts."
Imagine that you are a university student completing an in-person study for extra credit.,"The researcher hands you a booklet that explains that, in any given situation, your automatic feelings about the situation come before your thoughts about the situation.","You are then shown a series of images on a computer screen. For each image, you are asked whether you had thoughts or feelings first.","In any given situation, your automatic thoughts about the situation come before your feelings about the situation.","In any given situation, your automatic feelings about the situation come before your thoughts about the situation.","In any given situation, your feelings and thoughts about the situation emerge at the exact same time.","In any given situation, it is equally important to communicate your feelings as well as your thoughts."
Imagine that you are a university student completing an in-person study for extra credit.,"The researcher hands you a booklet that explains that, in any given situation, your automatic feelings about the situation come before your thoughts about the situation.","A week after you read this booklet, you are shown a series of images on a computer screen. For each image, you are asked whether you had thoughts or feelings first.","In any given situation, your automatic thoughts about the situation come before your feelings about the situation.","In any given situation, your automatic feelings about the situation come before your thoughts about the situation.","In any given situation, your feelings and thoughts about the situation emerge at the exact same time.","In any given situation, it is equally important to communicate your feelings as well as your thoughts."
Imagine that you are a university student completing an in-person study for extra credit.,"The researcher hands you a booklet that explains that, in any given situation, your automatic thoughts about the situation come before your feelings about the situation.","A week after you read this booklet, you are asked to (1) describe 3 life events from the past week, (2) write down all the thoughts and feelings you had during the event, and (3) indicate for each event whether you had thoughts or feelings first.","In any given situation, your automatic thoughts about the situation come before your feelings about the situation.","In any given situation, your automatic feelings about the situation come before your thoughts about the situation.","In any given situation, your feelings and thoughts about the situation emerge at the exact same time.","In any given situation, it is equally important to communicate your feelings as well as your thoughts."
Imagine that you are a university student completing an in-person study for extra credit.,"The researcher hands you a booklet that explains that, in any given situation, your automatic feelings about the situation come before your thoughts about the situation.","A week after you read this booklet, you are asked to (1) describe 3 life events from the past week, (2) write down all the thoughts and feelings you had during the event, and (3) indicate for each event whether you had thoughts or feelings first.","In any given situation, your automatic thoughts about the situation come before your feelings about the situation.","In any given situation, your automatic feelings about the situation come before your thoughts about the situation.","In any given situation, your feelings and thoughts about the situation emerge at the exact same time.","In any given situation, it is equally important to communicate your feelings as well as your thoughts."
Imagine that you are a university student completing a study as a volunteer or for extra credit.,The researcher asks you to imagine having a serious disagreement about a close friend. You then read several statements that are similar to the following: “Disagreeing means that our relationship is not good.” The researcher then tells you they expect that saying and believing these statements will make you feel better about your relationship.,"After reading the statements, you are asked to report how satisfied you are with your relationship with the close friend.",Reading and believing the set of statements created by the researcher will make you feel better about your relationship with your friend.,Reading and believing the set of statements created by the researcher will make you feel worse about your relationship with your friend.,Reading and believing the set of statements created by the researcher will not impact how you feel about your relationship with your friend.,Reading and believing the set of statements created by the researcher will inspire you to make more friends.
Imagine that you are a university student completing a study as a volunteer or for extra credit.,The researcher asks you to imagine having a serious disagreement about a close friend. You then read several statements that are similar to the following: “Disagreeing does not mean that our relationship is not good.” The researcher then tells you they expect that saying and believing these statements will make you feel worse about your relationship.,"After reading the statements, you are asked to report how satisfied you are with your relationship with the close friend.",Reading and believing the set of statements created by the researcher will make you feel better about your relationship with your friend.,Reading and believing the set of statements created by the researcher will make you feel worse about your relationship with your friend.,Reading and believing the set of statements created by the researcher will not impact how you feel about your relationship with your friend.,Reading and believing the set of statements created by the researcher will inspire you to make more friends.
Imagine that you are a university student completing an in-person study for course credit.,The researcher informs you that they expect posing happy expressions to increase feelings of happiness.,"You pose happy, neutral, and angry expressions and then self-report how happy you feel.","Posing happy expressions will increase feelings of happiness, and posing angry expressions will increase feelings of anger.","Posing happy expressions will decrease feelings of happiness, and posing angry expressions will decrease feelings of anger.","Posing happy expressions will not increase feelings of happiness, and posing angry expressions will not increase feelings of anger","Posing happy expressions will increase hunger, and posing angry expressions will increase thirst."
Imagine that you are a university student completing an in-person study for course credit.,The researcher informs you that they expect posing happy expressions to have no effect on your feelings of happiness.,"You pose happy, neutral, and angry expressions and then self-report how happy you feel.","Posing happy expressions will increase feelings of happiness, and posing angry expressions will increase feelings of anger.","Posing happy expressions will decrease feelings of happiness, and posing angry expressions will decrease feelings of anger.","Posing happy expressions will not increase feelings of happiness, and posing angry expressions will not increase feelings of anger","Posing happy expressions will increase hunger, and posing angry expressions will increase thirst."
Imagine that you are a university student completing an in-person study for course credit.,The researcher informs you that they expect posing angry expressions to increase feelings of anger.,"You pose happy, neutral, and angry expressions and then self-report how angry you feel.","Posing happy expressions will increase feelings of happiness, and posing angry expressions will increase feelings of anger.","Posing happy expressions will decrease feelings of happiness, and posing angry expressions will decrease feelings of anger.","Posing happy expressions will not increase feelings of happiness, and posing angry expressions will not increase feelings of anger","Posing happy expressions will increase hunger, and posing angry expressions will increase thirst."
Imagine that you are a university student completing an in-person study for course credit.,The researcher informs you that they expect posing angry expressions to have no effect on your feelings of anger.,"You pose happy, neutral, and angry expressions and then self-report how angry you feel.","Posing happy expressions will increase feelings of happiness, and posing angry expressions will increase feelings of anger.","Posing happy expressions will decrease feelings of happiness, and posing angry expressions will decrease feelings of anger.","Posing happy expressions will not increase feelings of happiness, and posing angry expressions will not increase feelings of anger","Posing happy expressions will increase hunger, and posing angry expressions will increase thirst."
Imagine that you are a university student completing an online study for course credit.,You are informed that the researcher expects posing happy expressions to increase feelings of happiness.,"You pose happy, neutral, and angry expressions and then self-report how happy you feel.","Posing happy expressions will increase feelings of happiness, and posing angry expressions will increase feelings of anger.","Posing happy expressions will decrease feelings of happiness, and posing angry expressions will decrease feelings of anger.","Posing happy expressions will not increase feelings of happiness, and posing angry expressions will not increase feelings of anger.","Posing happy expressions will make you tired, and posing angry expressions will make you alert."
Imagine that you are a university student completing an online study for course credit.,You are informed that the researcher expects posing happy expressions to have no effect on your feelings of happiness.,"You pose happy, neutral, and angry expressions and then self-report how happy you feel.","Posing happy expressions will increase feelings of happiness, and posing angry expressions will increase feelings of anger.","Posing happy expressions will decrease feelings of happiness, and posing angry expressions will decrease feelings of anger.","Posing happy expressions will not increase feelings of happiness, and posing angry expressions will not increase feelings of anger.","Posing happy expressions will make you tired, and posing angry expressions will make you alert."
Imagine that you are a university student completing an online study for course credit.,You are informed that the researcher expects posing angry expressions to increase feelings of anger.,"You pose happy, neutral, and angry expressions and then self-report how angry you feel.","Posing happy expressions will increase feelings of happiness, and posing angry expressions will increase feelings of anger.","Posing happy expressions will decrease feelings of happiness, and posing angry expressions will decrease feelings of anger.","Posing happy expressions will not increase feelings of happiness, and posing angry expressions will not increase feelings of anger.","Posing happy expressions will make you tired, and posing angry expressions will make you alert."
Imagine that you are a university student completing an online study for course credit.,You are informed that the researcher expects posing angry expressions to have no effect on your feelings of anger.,"You pose happy, neutral, and angry expressions and then self-report how angry you feel.","Posing happy expressions will increase feelings of happiness, and posing angry expressions will increase feelings of anger.","Posing happy expressions will decrease feelings of happiness, and posing angry expressions will decrease feelings of anger.","Posing happy expressions will not increase feelings of happiness, and posing angry expressions will not increase feelings of anger.","Posing happy expressions will make you tired, and posing angry expressions will make you alert."
Imagine that you are working a free-lance job where you are paid to complete an online study.,The researcher tells you to imagine yourself as an HR officer tasked with sorting through resumes to determine which applicants should receive an interview for an entry-level sales position. They inform you that they anticipate you will be more likely to choose candidates with stereotypical White American names to receive an interview.,"You are then presented with a resume, which contains either a stereotypically White American or African American name. You are then asked to indicate how willing you are to call the candidate for an interview.",You will be more likely to choose candidates with stereotypical White American names to receive an interview.,You will be more likely to choose candidates with stereotypical African American names to receive an interview.,You will be equally likely to choose candidates with stereotypical White American vs. stereotypical African American names to receive an interview.,You will exhibit no ideological bias.
Imagine that you are working a free-lance job where you are paid to complete an online study.,The researcher tells you to imagine yourself as an HR officer tasked with sorting through resumes to determine which applicants should receive an interview for an entry-level sales position. They inform you that they anticipate you will be more likely to choose candidates with stereotypical African American names to receive an interview.,"You are then presented with a resume, which contains either a stereotypically White American or African American name. You are then asked to indicate how willing you are to call the candidate for an interview.",You will be more likely to choose candidates with stereotypical White American names to receive an interview.,You will be more likely to choose candidates with stereotypical African American names to receive an interview.,You will be equally likely to choose candidates with stereotypical White American vs. stereotypical African American names to receive an interview.,You will exhibit no ideological bias.
