"","title","abstract","MW_include","MW_rationale","NC_include","NC_rationale","note","authors","year","link","database"
"11","External versus self-reinforcement: A review of methodological and theoretical issues","A review of 21 experiments indicates that the following methodologies prevent a definitive resolution to the question of whether or not self-reinforcement is a legitimate reinforcement operation: (a) the failure of many self-reinforcement (SR)-external reinforcement (ER) comparative experiments to operationally distinguish the functions from the structures of reinforcement operations; (b) the use of a variety of yoking procedures that attempt to equate ER, SR, and control groups for comparison purposes; (c) component dependencies in SR operations; (d) demand characteristics that confound ER and SR comparisons; and (e) the employment of both contingent and noncontingent reward procedures across and within the reviewed experiments. At the theoretical level, paradigmatic inadequacies and ideological biases are considered to further confuse the central issues of SR legitimacy and distinctiveness. It is concluded that there is no compelling reason to support a bifurcated ""self-external"" reinforcement theory. (French abstract) (44 ref) (PsycInfo (2022) Database Record (c) 2016 APA, all rights reserved)","0","1","0","N/A",NA,"Martin, Jack","1980","https://www.proquest.com/scholarly-journals/external-versus-self-reinforcement-review/docview/616531377/se-2?accountid=14026","APA PsycInfo (2022)"
"12","Theory and research concerning the notion of Black self-hatred: A review and reinterpretation","Reviews theoretical models of Black self-hatred. Most conceptions, including the ""looking-glass model,"" have grown out of self-concept theory, which emphasizes social interaction and assumes that Blacks suffer debilitating pathological effects from the psychological stresses imposed upon them by Euro-American racism and its practices. Several case studies reporting the predominance of color conflicts and inferiority feelings in Black psychiatric patients are criticized for sampling and other methodological defects. The diverse and ambiguous nature of field surveys, generally used to support the construct validity of self-hatred theories, makes it difficult to determine their precise relationship to the self-hatred hypotheses. A representative group of preference studies are cited, which seem to support a theory of Black self-hatred, although none of these gave serious consideration to cultural differences among Black Ss or to the diverse meanings of stimulus objects. Other studies display (a) ambiguous findings, suggesting inherent problems in the nature of the stimuli and responses; (b) uncontrolled experimenter effects; and (c) demand characteristics. It is concluded that much of the literature is unreliable and invalid, with findings that are inconsistent and not statistically significant. Cross-cultural approaches in future research are recommended. (126 ref) (PsycInfo (2022) Database Record (c) 2016 APA, all rights reserved)","0","1","0","N/A",NA,"Baldwin, Joseph A.","1979","https://www.proquest.com/scholarly-journals/theory-research-concerning-notion-black-self/docview/616420485/se-2?accountid=14026","APA PsycInfo (2022)"
"13","Behavioral approaches to weight control: An updated review","Surveyed recent developments in the behavioral treatment of obesity. Results show that no studies of aversive therapy have been published since the author's (1973) earlier review. Three studies of covert sensitization have yielded discouraging results. Any positive effects of this technique appear to be the result of nonspecific demand characteristics rather than aversive conditioning. Several demonstrations of the effects of therapist controlled reinforcement indicate that this technique can promote weight loss while the contingencies are in effect. The weight is rapidly regained, however, after the contingencies are withdrawn. It is concluded that self-control treatments, especially complex self-control, are the most consistently successful treatment approaches. Several methodological problems are presented and unresolved issues are discussed. (56 ref) (PsycInfo (2022) Database Record (c) 2020 APA, all rights reserved)","0","1","0","N/A",NA,"Abramson, Edward E.","1977","https://www.proquest.com/scholarly-journals/behavioral-approaches-weight-control-updated/docview/616222576/se-2?accountid=14026","APA PsycInfo (2022)"
"14","Experimental and Psychotherapeutic Demand Characteristics and the Cognitive Therapy Rationale: An Analogue Study","In cognitive therapy (CT) for depression, the treatment rationale is presented in lay terms as an ABC sequence such that A represents a recent event, B represents automatic thoughts about the event, and C represents the resulting affective response. The role of demand characteristics in rationales such as this has been extensively explored in research on systematic desensitization but little has been done with regards to CT. This study investigated the influence of the CT rationale and an alternative rationale on participants' self-reported thoughts and feelings in response to images. While the CT rationale assumes that cognition precedes and causes affect, the alternative rationale flipped the terms of ABC into an ACB theory in which affect is assumed to precede and cause cognition. We found that both rationales influenced reporting: Those who received the ABC rationale reported that more automatic thoughts were evoked first, while those who received the ACB rationale reported that more automatic feelings were evoked first. The rationales also were more influential on high arousal images and less influential for participants with previous therapy experience... (PsycInfo (2022) Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)","1","N/A","1","N/A","Pretty close to a demand charactersitics manipulation, although the researchers did not use phrases like ""hypothesis"" and ""purpose of the study""","Kanter, Jonathan W.;Kohlenberg, Robert J.;Loftus, Elizabeth F.","2004","https://www.proquest.com/scholarly-journals/experimental-psychotherapeutic-demand/docview/620365670/se-2?accountid=14026","APA PsycInfo (2022)"
"15","Treatment conditions, dogmatism, and perception of demand characteristics","Investigated 96 female and 62 male undergraduates' perceptions of demand characteristics in relation to treatment condition and Rokeach Dogmatism Scale scores. Ss receiving the experimental treatment were expected to show greater awareness of E's purpose than control Ss because of less confusing cues for the former Ss. Dogmatism was expected to be either negatively related to accurate perception of demand cues or unrelated to such awareness. Analysis of responses to a 5-question awareness scale was performed by a 3 * 2 analysis of variance using the method of unweighted means. Experimental Ss showed significantly more accurate perceptions of demand cues (p &lt; .01) than control Ss, but dogmatism had no significant effects. Tentative interpretations of these data are provided in terms of the phenomena of perceptual synthesis and perceptual analysis. (PsycInfo (2022) Database Record (c) 2016 APA, all rights reserved)","0","2","N/A","N/A",NA,"Jones, James M.","1971","https://www.proquest.com/scholarly-journals/treatment-conditions-dogmatism-perception-demand/docview/615804622/se-2?accountid=14026","APA PsycInfo (2022)"
"16","Similarity-attraction or demand characteristics?","Examined the possiblity that the experimental approach to interpersonal attraction may involve simply acquiescence to the demand characteristics of the situation and not the effect of attitude similarity on attraction. In exp. I, 125 undergraduates who had just participated in a standard attitude-attraction experiment were asked to state the e's hypothesis. 76% were unable to verbalize any element of the hypothesis, and only 18% were able to answer the question correctly. The effect of similar attitudes on attraction did not differ for aware and unaware ss. In exp. Ii with 134 undergraduates the similarity-attraction hypothesis was described to 2 groups, with 1 asked to verify it and the other to do the opposite 2 other groups were asked to guess the hypothesis, with 1 asked to verify it and the other to do the opposite. Analysis of variance indicated a significant similarity effect (p &lt; .0001), with neither the instructions nor the interaction yielding significance. Exp. Iii with 394 undergraduates, replicated the 2 conditions in which ss were asked to behave opposite to the hypothesis along with 2 new groups which heard a false hypothesis, I.e., opposites attract. Again, the only significant effect was attitude similarity (p &lt; .002). It is concluded that demand characteristics play little role in the similarity-attraction experiments. (PsycInfo (2022) Database Record (c) 2016 APA, all rights reserved)","1","N/A","1","N/A",NA,"Lamberth, John;Byrne, Donn","1971","https://www.proquest.com/scholarly-journals/similarity-attraction-demand-characteristics/docview/615784349/se-2?accountid=14026","APA PsycInfo (2022)"
"17","Subject's attitudes toward psychology as a determinant of experimental results","Proposed attitudes toward psychology and psychological research as the basis of ss' differential willingness to cooperate with the demands of the experiment. To test this proposition, demand characteristics for positive opinion-change were communicated in a pretest-posttest design with 144 undergraduates as ss. The psychology research survey (prs) was developed to measure ss' attitudes toward psychology. Although all ss showed significant opinion-change, it was found, as predicted, that ss with more positive attitudes toward psychology showed significantly greater opinion change than ss with less positive attitudes. In addition, prs scores were significantly positively correlated with posttest and opinion-change scores and nonsignificantly correlated with pretest scores. The potential role of attitudes towards psychology as a determinant of ss' experimental performance is discussed. (french summary) (PsycInfo (2022) Database Record (c) 2016 APA, all rights reserved)","0","2","N/A","N/A",NA,"Adair, John G.;Fenton, David P.","1971","https://www.proquest.com/scholarly-journals/subjects-attitudes-toward-psychology-as/docview/615777130/se-2?accountid=14026","APA PsycInfo (2022)"
"18","Reinforcement and/or transference in hypnosis and psychotherapy: A hypothesis","Attempted to formulate transference in terms of the concepts of the experimental psychology of learning. The essential implication is that once the therapist has increased his reinforcer value through association with ""significant others"" in the patient's past, he is able, through the types of expectations and ""demand characteristics"" he structures in the treatment situation, to influence the verbalizations, memories, feelings, and ""insights"" produced by the patient. (PsycInfo (2022) Database Record (c) 2016 APA, all rights reserved)","0","1","N/A","N/A",NA,"Wickramasekera, I.","1970","https://www.proquest.com/scholarly-journals/reinforcement-transference-hypnosis-psychotherapy/docview/615668633/se-2?accountid=14026","APA PsycInfo (2022)"
"19","Discrete-state versus continuous models of the confidence-accuracy relationship in recognition memory","The relationship between confidence and accuracy in recognition memory is important in real-world settings (e.g., eyewitness identification) and is also important to understand at a theoretical level. Signal detection theory assumes that recognition decisions are based on continuous underlying memory signals and therefore inherently predicts that the relationship between confidence and accuracy will be continuous. Almost invariably, the empirical data accord with this prediction. Threshold models instead assume that recognition decisions are based on discrete-state memory signals. As a result, these models do not inherently predict a continuous confidence-accuracy relationship. However, they can accommodate that result by adding hypothetical mapping relationships between discrete states and the confidence rating scale. These mapping relationships are thought to arise from a variety of factors, including demand characteristics (e.g., instructing participants to distribute their responses across the confidence scale). However, until such possibilities are experimentally investigated in the context of a recognition memory experiment, there is no sense in which threshold models adequately explain confidence ratings at a theoretical level. Here, we tested whether demand characteristics might account for the mapping relationships required by threshold models and found that confidence was continuously related to accuracy (almost identically so) both in the presence of strong experimenter demands and in their absence. We conclude that confidence ratings likely reflect the strength of a continuous underlying memory signal, not an attempt to use the confidence scale in a manner that accords with the perceived expectations of the experimenter. (PsycInfo (2022) Database Record (c) 2021 APA, all rights reserved) (Source: journal abstract)","N/A","N/A","0","2",NA,"Delay, Christophe G.;Wixted, John T.","2021","https://www.proquest.com/scholarly-journals/discrete-state-versus-continuous-models/docview/2455302291/se-2?accountid=14026","APA PsycInfo (2022)"
"20","Hypothesis awareness as a demand characteristic in laboratory-based eating behaviour research: An experimental study","Demand characteristics are thought to undermine the validity of psychological research, but the extent to which participant awareness of study hypotheses affects laboratory-measured eating behaviour studies has received limited attention. Participants (N = 84) attended two laboratory sessions in which food intake was measured. In session 1 baseline food intake was measured. In session 2 participants were allocated to either a ‘hypothesis aware’ or ‘hypothesis unaware’ condition. Participants were led to believe in the ‘hypothesis aware’ condition that they were expected to increase their food intake in session 2 relative to session 1. Participants in the ‘hypothesis unaware’ condition were not provided with hypothesis information. Contrary to our pre-registered predictions, the experimental manipulation of hypothesis awareness did not affect session 2 food intake. However, the manipulation was less effective than anticipated as some participants did not appear to believe the hypothesis information provided. Post-hoc exploratory analyses revealed that participants who believed the study hypothesis was that their food intake would increase in session 2 ate more in session 2 than participants who did not believe this was the study hypothesis. Further confirmatory research is required to understand the causal effect that participant awareness of study hypotheses has on laboratory measured eating behaviour. (PsycInfo (2022) Database Record (c) 2020 APA, all rights reserved) (Source: journal abstract)","N/A","N/A","1","N/A",NA,"Kersbergen, Inge;Whitelock, Victoria;Haynes, Ashleigh;Schroor, Maite;Robinson, Eric","2019","https://www.proquest.com/scholarly-journals/hypothesis-awareness-as-demand-characteristic/docview/2263488502/se-2","APA PsycInfo (2022)"
"21","Revisiting the Stanford prison experiment, again: Examining demand characteristics in the guard orientation","The day before the Stanford prison experiment began, the investigators held an orientation session for the guards in which they communicated expectations for hostile guard behavior, a flippant prisoner mindset, and the possibility of ending the study prematurely. While the study’s principal investigator has minimized the influence of this orientation, critics have speculated that it provided a “script” for guard abuse. In the present studies, participants were presented with a hypothetical prison simulation study and randomly assigned as guards to an orientation session that included these expectations (Stanford orientation) or one providing basic study information. Across three studies, participants exposed to the Stanford orientation relative to a control orientation, reported greater expectations for hostile and oppressive behavior on the part of the study’s investigator and from others and themselves as guards. The present results provide empirical support for speculation that the language of the guard orientation in the Stanford prison experiment sanctioned abuse among guards. (PsycInfo (2022) Database Record (c) 2019 APA, all rights reserved) (Source: journal abstract)","N/A","N/A","0","8",NA,"Bartels, Jared","2019","https://www.proquest.com/scholarly-journals/revisiting-stanford-prison-experiment-again/docview/2207627553/se-2?accountid=14026","APA PsycInfo (2022)"
"22","Teaching psychology research methodology across the curriculum to promote undergraduate publication: An eight-course structure and two helpful practices","This article describes a systematic set of methodology courses and two specific practices in undergraduate publication. Major challenges in teaching research methods include students’ limited ability to (a) build a study that makes a clear prediction with rival hypotheses, and (b) to think clearly and logically through key issues such as randomization, control conditions, double-blind testing, counterbalancing, power, sample size, experimenter effects, and demand characteristics. Another challenge is to have the student exert tighter controls in non-experimental studies. Another major issue is that of obtaining prior approval from institutional research ethics boards, which requires careful time scheduling and attention to detail in the required documentation. To plan ahead of time, pilot testing is vitally needed, and this testing itself may require ethics approval, leading possibly to an infinite logical regress unless common sense is applied. Involving undergraduates in the publication process is not easy, but that the present seeming success is related in part to the cumulative course structure, to the explicit identification and discussion of challenges, and to the two systematic exercises outlined in the article. (PsycInfo (2022) Database Record (c) 2018 APA, all rights reserved)","N/A","N/A","0","1",NA,"McKelvie, Stuart;Standing, Lionel Gilbert","2018","https://www.proquest.com/scholarly-journals/teaching-psychology-research-methodology-across/docview/2161754373/se-2","APA PsycInfo (2022)"
"23","Did I do that? Expectancy effects of brain stimulation on error-related negativity and sense of agency","This study examines the effects of expected transcranial stimulation on the error(-related) negativity (Ne or ERN) and the sense of agency in participants who perform a cognitive control task. Placebo transcranial direct current stimulation was used to elicit expectations of transcranially induced cognitive improvement or impairment. The improvement/impairment manipulation affected both the Ne/ERN and the sense of agency (i.e., whether participants attributed errors to oneself or the brain stimulation device): Expected improvement increased the ERN in response to errors compared with both impairment and control conditions. Expected impairment made participants falsely attribute errors to the transcranial stimulation. This decrease in sense of agency was correlated with a reduced ERN amplitude. These results show that expectations about transcranial stimulation impact users’ neural response to self-generated errors and the attribution of responsibility—especially when actions lead to negative outcomes. We discuss our findings in relation to predictive processing theory according to which the effect of prior expectations on the ERN reflects the brain’s attempt to generate predictive models of incoming information. By demonstrating that induced expectations about transcranial stimulation can have effects at a neural level, that is, beyond mere demand characteristics, our findings highlight the potential for placebo brain stimulation as a promising tool for research. (PsycInfo (2022) Database Record (c) 2018 APA, all rights reserved) (Source: journal abstract)","N/A","N/A","1","N/A",NA,"Hoogeveen, Suzanne;Schjoedt, Uffe;van Elk, Michiel","2018","https://www.proquest.com/scholarly-journals/did-i-do-that-expectancy-effects-brain/docview/2154827460/se-2","APA PsycInfo (2022)"
"24","Attention or instruction: Do sustained attentional abilities really differ between high and low hypnotisable persons?","Previous research has suggested that highly hypnotisable participants (‘highs’) are more sensitive to the bistability of ambiguous figures—as evidenced by reporting more perspective changes of a Necker cube—than low hypnotisable participants (‘lows’). This finding has been interpreted as supporting the hypothesis that highs have more efficient sustained attentional abilities than lows. However, the higher report of perspective changes in highs in comparison to lows may reflect the implementation of different expectation-based strategies as a result of differently constructed demand characteristics according to one’s level of hypnotisability. Highs, but not lows, might interpret an instruction to report perspective changes as an instruction to report many changes. Using a Necker cube as our bistable stimulus, we manipulated demand characteristics by giving specific information to participants of different hypnotisability levels. Participants were told that previous research has shown that people with similar hypnotisability as theirs were either very good at switching or maintaining perspective versus no information. Our results show that highs, but neither lows nor mediums, were strongly influenced by the given information. However, highs were not better at maintaining the same perspective than participants with lower hypnotisability. Taken together, these findings favour the view that the higher sensitivity of highs in comparison to lows to the bistability of ambiguous figures reflect the implementation of different strategies. (PsycInfo (2022) Database Record (c) 2019 APA, all rights reserved) (Source: journal abstract)","N/A","N/A","1","N/A",NA,"Martin, Jean-Rémy;Sackur, Jérôme;Dienes, Zoltan","2018","https://www.proquest.com/scholarly-journals/attention-instruction-do-sustained-attentional/docview/2277569617/se-2","APA PsycInfo (2022)"
"25","Examining the effects of a multifaceted intervention on brain anatomy and function","The capacity for the human brain to change in response to training has only recently begun to be appreciated. Moreover, examinations of the effects of training on brain anatomy and function have typically focused on the outcomes produced by narrowly focused training programs targeting a minimal number of domains. However, such programs neglect consideration of the fact that many outcomes may be produced by interacting causal factors, and that simultaneous change may be possible across many outcome dimensions. Two multifaceted lifestyle-change intervention programs were run at the University of California, Santa Barbara: designed to enable positive changes within multiple dimensions of physiological, cognitive, and psychological well-being, and implemented for the purpose of examining the capacity for concurrent and multifaceted change within individuals. The interventions were extraordinarily effective at producing positive outcomes across their targeted dimensions, yet a key question remains: To what extent were the effects produced by these interventions associated with neurally-instantiated changes within the brain? Evidence of changes in the functional organization of brain activity or in indices of anatomical function and efficiency would provide much-desired support for the notion that the intervention effects observed were due to real physiological alterations in nervous system function rather than superficial effects based on demand characteristics, motivation, or testing. The present research explores the effects of these multifaceted intervention studies on brain anatomy and function. Intervention-induced changes in resting-state brain function were discovered amongst three key regions: one involved in self-referential processing and mind-wandering (the posterior cingulate cortex), one involved in executive processes (the middle temporal gyrus), and another associated with interoception and salience processing (the insula). Using a novel dynamic functional connectivity approach, intervention effects were also uncovered within brain function during a mindful-breathing sustained attention task, such that individuals spent a greater proportion of the task in a functional connectivity state reflective of focused attention following the intervention. Finally, the intervention program was also able to produce anatomical changes: cortical thickness within insular cortex increased as a result of the intervention. Together, these findings provide converging support for results obtained from more narrowly focused intervention programs, reveal an association between many functional changes within the brain and improvements in dispositional mindfulness, and demonstrate the efficacy of the interventions at inducing changes in brain anatomy and function. (PsycInfo (2022) Database Record (c) 2017 APA, all rights reserved)","N/A","N/A","0","N/A",NA,"Mooneyham, Benjamin Winn","2017","https://www.proquest.com/dissertations-theses/examining-effects-multifaceted-intervention-on/docview/1870296648/se-2?accountid=14026","APA PsycInfo (2022)"
"26","The effect of light-intensity cycling on mood and working memory in response to a randomized, placebo-controlled design","Objective: Prior attempts to measure psychological responses to exercise are potentially limited by a failure to account for participants' expectations, the absence of a valid exercise placebo, and demand characteristics. The purpose of this study was to explore the main and interactive effects of a manipulation designed to increase expectations about the psychological benefits of an acute bout of active, light-intensity (treatment), and passive (placebo) cycling on mood and cognition. Demand characteristics were attenuated during recruitment, informed consent, and interactions with test administrators by communicating to participants that the study purpose was to assess the effects of active and passive cycling on respiration, heart rate, and muscle activation. Methods: A repeated-measures, randomized, placebo-controlled design ( n = 60) was used with cycling (active, passive) and information (informed, not informed) as between-subjects factors. State anxiety, feelings of energy, and working memory (percent accuracy and reaction time for correct responses) were measured at baseline (time 1), immediately after cycling (time 2) and 20 minutes after cycling (time 3). Results: Most participants did not guess the purpose of the study (~92%) or expect a reduction in state anxiety (85%) or an increase in energy (80%) or cognitive performance (~93%). Mood and cognitive performance were not improved by active or passive cycling (all p values = .12). Conclusions: The methods used here to disguise the experimental hypotheses provide a potential framework for reducing demand characteristics and placebo responses in future investigations of psychological responses to exercise. (PsycInfo (2022) Database Record (c) 2017 APA, all rights reserved) (Source: journal abstract)","N/A","N/A","0","5","Based on the description of the manipulation, we cannot determine whether the researchers precisely communicated an expected effect of the IV on the DV. The paper vaguely mentions communicating information about ""psychological benefits"", but it's not clear what was specifically communicated","Lindheimer, Jacob B.;O'Connor, Patrick J.;McCully, Kevin K.;Dishman, Rod K.","2017","https://www.proquest.com/scholarly-journals/effect-light-intensity-cycling-on-mood-working/docview/1895308840/se-2?accountid=14026","APA PsycInfo (2022)"
