"","ResponseId","sex","age","attention_check","lab","modality","incentive","orientation","info","prq_g_1","prq_g_2","prq_o_1","prq_o_2","prq_a_1","prq_a_2","prq_p_1","prq_p_2","prq_n_1","prq_n_2","prq_w_1","prq_w_2","trial","value","info.pres","just"
"16","R_2fdhhziXMIzDvkp",1,65,4,"POL_01","online","paid","left.c","demand",7,1,10,10,5,5,10,10,1,1,4,8,"stim_lef_sma_mky",NA,"yes","left"
"17","R_2uEvTqxJ96RX4pG",1,75,5,"POL_01","online","paid","left.c","conform",8,5,5,6,6,6,5,5,5,3,5,6,"stim_lef_sma_mkn",4,"no","left"
"18","R_2uEvTqxJ96RX4pG",1,75,5,"POL_01","online","paid","left.c","conform",8,5,5,6,6,6,5,5,5,3,5,6,"stim_lef_lar_mkn",4,"no","left"
"19","R_2uEvTqxJ96RX4pG",1,75,5,"POL_01","online","paid","left.c","conform",8,5,5,6,6,6,5,5,5,3,5,6,"stim_rig_sma_mkn",NA,"no","right"
"20","R_2uEvTqxJ96RX4pG",1,75,5,"POL_01","online","paid","left.c","conform",8,5,5,6,6,6,5,5,5,3,5,6,"stim_rig_lar_mkn",NA,"no","right"
"21","R_2uEvTqxJ96RX4pG",1,75,5,"POL_01","online","paid","left.c","conform",8,5,5,6,6,6,5,5,5,3,5,6,"stim_rig_lar_mky",2,"yes","right"
"22","R_2uEvTqxJ96RX4pG",1,75,5,"POL_01","online","paid","left.c","conform",8,5,5,6,6,6,5,5,5,3,5,6,"stim_rig_sma_mky",4,"yes","right"
"23","R_2uEvTqxJ96RX4pG",1,75,5,"POL_01","online","paid","left.c","conform",8,5,5,6,6,6,5,5,5,3,5,6,"stim_lef_lar_mky",NA,"yes","left"
"24","R_2uEvTqxJ96RX4pG",1,75,5,"POL_01","online","paid","left.c","conform",8,5,5,6,6,6,5,5,5,3,5,6,"stim_lef_sma_mky",NA,"yes","left"
"25","R_3404zjjEuI0ANR7",2,55,5,"POL_01","online","paid","left.c","conform",1,1,10,10,1,10,1,10,1,1,10,10,"stim_lef_sma_mkn",4,"no","left"
"26","R_3404zjjEuI0ANR7",2,55,5,"POL_01","online","paid","left.c","conform",1,1,10,10,1,10,1,10,1,1,10,10,"stim_lef_lar_mkn",4,"no","left"
"27","R_3404zjjEuI0ANR7",2,55,5,"POL_01","online","paid","left.c","conform",1,1,10,10,1,10,1,10,1,1,10,10,"stim_rig_sma_mkn",NA,"no","right"
"28","R_3404zjjEuI0ANR7",2,55,5,"POL_01","online","paid","left.c","conform",1,1,10,10,1,10,1,10,1,1,10,10,"stim_rig_lar_mkn",NA,"no","right"
"29","R_3404zjjEuI0ANR7",2,55,5,"POL_01","online","paid","left.c","conform",1,1,10,10,1,10,1,10,1,1,10,10,"stim_rig_lar_mky",2,"yes","right"
"30","R_3404zjjEuI0ANR7",2,55,5,"POL_01","online","paid","left.c","conform",1,1,10,10,1,10,1,10,1,1,10,10,"stim_rig_sma_mky",1,"yes","right"
"31","R_3404zjjEuI0ANR7",2,55,5,"POL_01","online","paid","left.c","conform",1,1,10,10,1,10,1,10,1,1,10,10,"stim_lef_lar_mky",NA,"yes","left"
"32","R_3404zjjEuI0ANR7",2,55,5,"POL_01","online","paid","left.c","conform",1,1,10,10,1,10,1,10,1,1,10,10,"stim_lef_sma_mky",NA,"yes","left"
"33","R_1oHrt6HE8y9xbPQ",1,61,4,"POL_01","online","paid","left.c","conform",1,5,10,10,10,1,10,9,1,1,10,10,"stim_lef_sma_mkn",1,"no","left"
"34","R_1oHrt6HE8y9xbPQ",1,61,4,"POL_01","online","paid","left.c","conform",1,5,10,10,10,1,10,9,1,1,10,10,"stim_lef_lar_mkn",2,"no","left"
"35","R_1oHrt6HE8y9xbPQ",1,61,4,"POL_01","online","paid","left.c","conform",1,5,10,10,10,1,10,9,1,1,10,10,"stim_rig_sma_mkn",NA,"no","right"
"36","R_1oHrt6HE8y9xbPQ",1,61,4,"POL_01","online","paid","left.c","conform",1,5,10,10,10,1,10,9,1,1,10,10,"stim_rig_lar_mkn",NA,"no","right"
"37","R_1oHrt6HE8y9xbPQ",1,61,4,"POL_01","online","paid","left.c","conform",1,5,10,10,10,1,10,9,1,1,10,10,"stim_rig_lar_mky",1,"yes","right"
"38","R_1oHrt6HE8y9xbPQ",1,61,4,"POL_01","online","paid","left.c","conform",1,5,10,10,10,1,10,9,1,1,10,10,"stim_rig_sma_mky",2,"yes","right"
"39","R_1oHrt6HE8y9xbPQ",1,61,4,"POL_01","online","paid","left.c","conform",1,5,10,10,10,1,10,9,1,1,10,10,"stim_lef_lar_mky",NA,"yes","left"
"40","R_1oHrt6HE8y9xbPQ",1,61,4,"POL_01","online","paid","left.c","conform",1,5,10,10,10,1,10,9,1,1,10,10,"stim_lef_sma_mky",NA,"yes","left"
"41","R_5ihbHmY0dy0RuHH",1,32,4,"POL_01","online","paid","left.c","demand",1,1,1,1,5,1,5,1,1,1,1,1,"stim_lef_sma_mkn",5,"no","left"
"42","R_5ihbHmY0dy0RuHH",1,32,4,"POL_01","online","paid","left.c","demand",1,1,1,1,5,1,5,1,1,1,1,1,"stim_lef_lar_mkn",2,"no","left"
"43","R_5ihbHmY0dy0RuHH",1,32,4,"POL_01","online","paid","left.c","demand",1,1,1,1,5,1,5,1,1,1,1,1,"stim_rig_sma_mkn",NA,"no","right"
"44","R_5ihbHmY0dy0RuHH",1,32,4,"POL_01","online","paid","left.c","demand",1,1,1,1,5,1,5,1,1,1,1,1,"stim_rig_lar_mkn",NA,"no","right"
"45","R_5ihbHmY0dy0RuHH",1,32,4,"POL_01","online","paid","left.c","demand",1,1,1,1,5,1,5,1,1,1,1,1,"stim_rig_lar_mky",2,"yes","right"
"46","R_5ihbHmY0dy0RuHH",1,32,4,"POL_01","online","paid","left.c","demand",1,1,1,1,5,1,5,1,1,1,1,1,"stim_rig_sma_mky",2,"yes","right"
"47","R_5ihbHmY0dy0RuHH",1,32,4,"POL_01","online","paid","left.c","demand",1,1,1,1,5,1,5,1,1,1,1,1,"stim_lef_lar_mky",NA,"yes","left"
"48","R_5ihbHmY0dy0RuHH",1,32,4,"POL_01","online","paid","left.c","demand",1,1,1,1,5,1,5,1,1,1,1,1,"stim_lef_sma_mky",NA,"yes","left"
"49","R_2QoysBGv5LjJagg",2,32,5,"POL_01","online","paid","left.c","demand",1,6,8,7,9,8,6,4,1,1,8,9,"stim_lef_sma_mkn",3,"no","left"
"50","R_2QoysBGv5LjJagg",2,32,5,"POL_01","online","paid","left.c","demand",1,6,8,7,9,8,6,4,1,1,8,9,"stim_lef_lar_mkn",3,"no","left"
"51","R_2QoysBGv5LjJagg",2,32,5,"POL_01","online","paid","left.c","demand",1,6,8,7,9,8,6,4,1,1,8,9,"stim_rig_sma_mkn",NA,"no","right"
"52","R_2QoysBGv5LjJagg",2,32,5,"POL_01","online","paid","left.c","demand",1,6,8,7,9,8,6,4,1,1,8,9,"stim_rig_lar_mkn",NA,"no","right"
"53","R_2QoysBGv5LjJagg",2,32,5,"POL_01","online","paid","left.c","demand",1,6,8,7,9,8,6,4,1,1,8,9,"stim_rig_lar_mky",2,"yes","right"
"54","R_2QoysBGv5LjJagg",2,32,5,"POL_01","online","paid","left.c","demand",1,6,8,7,9,8,6,4,1,1,8,9,"stim_rig_sma_mky",2,"yes","right"
"55","R_2QoysBGv5LjJagg",2,32,5,"POL_01","online","paid","left.c","demand",1,6,8,7,9,8,6,4,1,1,8,9,"stim_lef_lar_mky",NA,"yes","left"
"56","R_2QoysBGv5LjJagg",2,32,5,"POL_01","online","paid","left.c","demand",1,6,8,7,9,8,6,4,1,1,8,9,"stim_lef_sma_mky",NA,"yes","left"
"57","R_89oaLp8aqNwK2aW",1,59,5,"POL_01","online","paid","left.c","conform",6,1,8,2,1,8,1,7,1,1,2,8,"stim_lef_sma_mkn",5,"no","left"
"58","R_89oaLp8aqNwK2aW",1,59,5,"POL_01","online","paid","left.c","conform",6,1,8,2,1,8,1,7,1,1,2,8,"stim_lef_lar_mkn",3,"no","left"
"59","R_89oaLp8aqNwK2aW",1,59,5,"POL_01","online","paid","left.c","conform",6,1,8,2,1,8,1,7,1,1,2,8,"stim_rig_sma_mkn",NA,"no","right"
"60","R_89oaLp8aqNwK2aW",1,59,5,"POL_01","online","paid","left.c","conform",6,1,8,2,1,8,1,7,1,1,2,8,"stim_rig_lar_mkn",NA,"no","right"
"61","R_89oaLp8aqNwK2aW",1,59,5,"POL_01","online","paid","left.c","conform",6,1,8,2,1,8,1,7,1,1,2,8,"stim_rig_lar_mky",2,"yes","right"
"62","R_89oaLp8aqNwK2aW",1,59,5,"POL_01","online","paid","left.c","conform",6,1,8,2,1,8,1,7,1,1,2,8,"stim_rig_sma_mky",2,"yes","right"
"63","R_89oaLp8aqNwK2aW",1,59,5,"POL_01","online","paid","left.c","conform",6,1,8,2,1,8,1,7,1,1,2,8,"stim_lef_lar_mky",NA,"yes","left"
"64","R_89oaLp8aqNwK2aW",1,59,5,"POL_01","online","paid","left.c","conform",6,1,8,2,1,8,1,7,1,1,2,8,"stim_lef_sma_mky",NA,"yes","left"
"65","R_4sc6uhWAGD56ypH",1,69,4,"POL_01","online","paid","left.c","conform",6,3,2,5,7,4,8,5,5,3,9,8,"stim_lef_sma_mkn",2,"no","left"
"66","R_4sc6uhWAGD56ypH",1,69,4,"POL_01","online","paid","left.c","conform",6,3,2,5,7,4,8,5,5,3,9,8,"stim_lef_lar_mkn",2,"no","left"
"67","R_4sc6uhWAGD56ypH",1,69,4,"POL_01","online","paid","left.c","conform",6,3,2,5,7,4,8,5,5,3,9,8,"stim_rig_sma_mkn",NA,"no","right"
"68","R_4sc6uhWAGD56ypH",1,69,4,"POL_01","online","paid","left.c","conform",6,3,2,5,7,4,8,5,5,3,9,8,"stim_rig_lar_mkn",NA,"no","right"
"69","R_4sc6uhWAGD56ypH",1,69,4,"POL_01","online","paid","left.c","conform",6,3,2,5,7,4,8,5,5,3,9,8,"stim_rig_lar_mky",2,"yes","right"
"70","R_4sc6uhWAGD56ypH",1,69,4,"POL_01","online","paid","left.c","conform",6,3,2,5,7,4,8,5,5,3,9,8,"stim_rig_sma_mky",3,"yes","right"
"71","R_4sc6uhWAGD56ypH",1,69,4,"POL_01","online","paid","left.c","conform",6,3,2,5,7,4,8,5,5,3,9,8,"stim_lef_lar_mky",NA,"yes","left"
"72","R_4sc6uhWAGD56ypH",1,69,4,"POL_01","online","paid","left.c","conform",6,3,2,5,7,4,8,5,5,3,9,8,"stim_lef_sma_mky",NA,"yes","left"
"73","R_6Pndj5c7sr1pcU3",2,24,5,"TUR_01","online","credit","left.c","demand",7,8,8,8,8,8,7,7,7,7,7,7,"stim_lef_sma_mkn",4,"no","left"
"74","R_6Pndj5c7sr1pcU3",2,24,5,"TUR_01","online","credit","left.c","demand",7,8,8,8,8,8,7,7,7,7,7,7,"stim_lef_lar_mkn",3,"no","left"
"75","R_6Pndj5c7sr1pcU3",2,24,5,"TUR_01","online","credit","left.c","demand",7,8,8,8,8,8,7,7,7,7,7,7,"stim_rig_sma_mkn",NA,"no","right"
"76","R_6Pndj5c7sr1pcU3",2,24,5,"TUR_01","online","credit","left.c","demand",7,8,8,8,8,8,7,7,7,7,7,7,"stim_rig_lar_mkn",NA,"no","right"
"77","R_6Pndj5c7sr1pcU3",2,24,5,"TUR_01","online","credit","left.c","demand",7,8,8,8,8,8,7,7,7,7,7,7,"stim_rig_lar_mky",2,"yes","right"
"78","R_6Pndj5c7sr1pcU3",2,24,5,"TUR_01","online","credit","left.c","demand",7,8,8,8,8,8,7,7,7,7,7,7,"stim_rig_sma_mky",2,"yes","right"
"79","R_6Pndj5c7sr1pcU3",2,24,5,"TUR_01","online","credit","left.c","demand",7,8,8,8,8,8,7,7,7,7,7,7,"stim_lef_lar_mky",NA,"yes","left"
"80","R_6Pndj5c7sr1pcU3",2,24,5,"TUR_01","online","credit","left.c","demand",7,8,8,8,8,8,7,7,7,7,7,7,"stim_lef_sma_mky",NA,"yes","left"
"81","R_1kFZO9o4ZHeostR",2,46,4,"DNK_01","online","paid","left.c","demand",5,5,5,5,8,5,2,2,8,8,5,5,"stim_lef_sma_mkn",1,"no","left"
"82","R_1kFZO9o4ZHeostR",2,46,4,"DNK_01","online","paid","left.c","demand",5,5,5,5,8,5,2,2,8,8,5,5,"stim_lef_lar_mkn",2,"no","left"
"83","R_1kFZO9o4ZHeostR",2,46,4,"DNK_01","online","paid","left.c","demand",5,5,5,5,8,5,2,2,8,8,5,5,"stim_rig_sma_mkn",NA,"no","right"
"84","R_1kFZO9o4ZHeostR",2,46,4,"DNK_01","online","paid","left.c","demand",5,5,5,5,8,5,2,2,8,8,5,5,"stim_rig_lar_mkn",NA,"no","right"
"85","R_1kFZO9o4ZHeostR",2,46,4,"DNK_01","online","paid","left.c","demand",5,5,5,5,8,5,2,2,8,8,5,5,"stim_rig_lar_mky",2,"yes","right"
"86","R_1kFZO9o4ZHeostR",2,46,4,"DNK_01","online","paid","left.c","demand",5,5,5,5,8,5,2,2,8,8,5,5,"stim_rig_sma_mky",1,"yes","right"
"87","R_1kFZO9o4ZHeostR",2,46,4,"DNK_01","online","paid","left.c","demand",5,5,5,5,8,5,2,2,8,8,5,5,"stim_lef_lar_mky",NA,"yes","left"
"88","R_1kFZO9o4ZHeostR",2,46,4,"DNK_01","online","paid","left.c","demand",5,5,5,5,8,5,2,2,8,8,5,5,"stim_lef_sma_mky",NA,"yes","left"
"89","R_7h0dLfzLlLHVwWJ",NA,61,3,"DNK_01","online","paid","left.c","demand",5,5,10,10,6,1,5,5,6,1,1,10,"stim_lef_sma_mkn",5,"no","left"
"90","R_7h0dLfzLlLHVwWJ",NA,61,3,"DNK_01","online","paid","left.c","demand",5,5,10,10,6,1,5,5,6,1,1,10,"stim_lef_lar_mkn",3,"no","left"
"91","R_7h0dLfzLlLHVwWJ",NA,61,3,"DNK_01","online","paid","left.c","demand",5,5,10,10,6,1,5,5,6,1,1,10,"stim_rig_sma_mkn",NA,"no","right"
"92","R_7h0dLfzLlLHVwWJ",NA,61,3,"DNK_01","online","paid","left.c","demand",5,5,10,10,6,1,5,5,6,1,1,10,"stim_rig_lar_mkn",NA,"no","right"
"93","R_7h0dLfzLlLHVwWJ",NA,61,3,"DNK_01","online","paid","left.c","demand",5,5,10,10,6,1,5,5,6,1,1,10,"stim_rig_lar_mky",3,"yes","right"
"94","R_7h0dLfzLlLHVwWJ",NA,61,3,"DNK_01","online","paid","left.c","demand",5,5,10,10,6,1,5,5,6,1,1,10,"stim_rig_sma_mky",3,"yes","right"
"95","R_7h0dLfzLlLHVwWJ",NA,61,3,"DNK_01","online","paid","left.c","demand",5,5,10,10,6,1,5,5,6,1,1,10,"stim_lef_lar_mky",NA,"yes","left"
"96","R_7h0dLfzLlLHVwWJ",NA,61,3,"DNK_01","online","paid","left.c","demand",5,5,10,10,6,1,5,5,6,1,1,10,"stim_lef_sma_mky",NA,"yes","left"
"97","R_3SJPYh9PvM77LO0",2,34,4,"DNK_01","online","paid","left.c","conform",7,5,6,7,8,8,4,5,1,1,1,7,"stim_lef_sma_mkn",1,"no","left"
"98","R_3SJPYh9PvM77LO0",2,34,4,"DNK_01","online","paid","left.c","conform",7,5,6,7,8,8,4,5,1,1,1,7,"stim_lef_lar_mkn",4,"no","left"
"99","R_3SJPYh9PvM77LO0",2,34,4,"DNK_01","online","paid","left.c","conform",7,5,6,7,8,8,4,5,1,1,1,7,"stim_rig_sma_mkn",NA,"no","right"
"100","R_3SJPYh9PvM77LO0",2,34,4,"DNK_01","online","paid","left.c","conform",7,5,6,7,8,8,4,5,1,1,1,7,"stim_rig_lar_mkn",NA,"no","right"
"101","R_3SJPYh9PvM77LO0",2,34,4,"DNK_01","online","paid","left.c","conform",7,5,6,7,8,8,4,5,1,1,1,7,"stim_rig_lar_mky",2,"yes","right"
"102","R_3SJPYh9PvM77LO0",2,34,4,"DNK_01","online","paid","left.c","conform",7,5,6,7,8,8,4,5,1,1,1,7,"stim_rig_sma_mky",4,"yes","right"
"103","R_3SJPYh9PvM77LO0",2,34,4,"DNK_01","online","paid","left.c","conform",7,5,6,7,8,8,4,5,1,1,1,7,"stim_lef_lar_mky",NA,"yes","left"
"104","R_3SJPYh9PvM77LO0",2,34,4,"DNK_01","online","paid","left.c","conform",7,5,6,7,8,8,4,5,1,1,1,7,"stim_lef_sma_mky",NA,"yes","left"
"105","R_2rdFHKeMil4weFX",2,45,4,"DNK_01","online","paid","left.c","conform",1,1,1,3,3,1,1,1,1,1,1,1,"stim_lef_sma_mkn",2,"no","left"
"106","R_2rdFHKeMil4weFX",2,45,4,"DNK_01","online","paid","left.c","conform",1,1,1,3,3,1,1,1,1,1,1,1,"stim_lef_lar_mkn",2,"no","left"
"107","R_2rdFHKeMil4weFX",2,45,4,"DNK_01","online","paid","left.c","conform",1,1,1,3,3,1,1,1,1,1,1,1,"stim_rig_sma_mkn",NA,"no","right"
"108","R_2rdFHKeMil4weFX",2,45,4,"DNK_01","online","paid","left.c","conform",1,1,1,3,3,1,1,1,1,1,1,1,"stim_rig_lar_mkn",NA,"no","right"
"109","R_2rdFHKeMil4weFX",2,45,4,"DNK_01","online","paid","left.c","conform",1,1,1,3,3,1,1,1,1,1,1,1,"stim_rig_lar_mky",2,"yes","right"
"110","R_2rdFHKeMil4weFX",2,45,4,"DNK_01","online","paid","left.c","conform",1,1,1,3,3,1,1,1,1,1,1,1,"stim_rig_sma_mky",1,"yes","right"
"111","R_2rdFHKeMil4weFX",2,45,4,"DNK_01","online","paid","left.c","conform",1,1,1,3,3,1,1,1,1,1,1,1,"stim_lef_lar_mky",NA,"yes","left"
"112","R_2rdFHKeMil4weFX",2,45,4,"DNK_01","online","paid","left.c","conform",1,1,1,3,3,1,1,1,1,1,1,1,"stim_lef_sma_mky",NA,"yes","left"
"113","R_2lURuVyw0bGEC3L",1,26,5,"DNK_01","online","paid","left.c","conform",7,5,5,2,7,1,2,1,1,2,6,3,"stim_lef_sma_mkn",3,"no","left"
"114","R_2lURuVyw0bGEC3L",1,26,5,"DNK_01","online","paid","left.c","conform",7,5,5,2,7,1,2,1,1,2,6,3,"stim_lef_lar_mkn",3,"no","left"
"115","R_2lURuVyw0bGEC3L",1,26,5,"DNK_01","online","paid","left.c","conform",7,5,5,2,7,1,2,1,1,2,6,3,"stim_rig_sma_mkn",NA,"no","right"
"116","R_2lURuVyw0bGEC3L",1,26,5,"DNK_01","online","paid","left.c","conform",7,5,5,2,7,1,2,1,1,2,6,3,"stim_rig_lar_mkn",NA,"no","right"
"117","R_2lURuVyw0bGEC3L",1,26,5,"DNK_01","online","paid","left.c","conform",7,5,5,2,7,1,2,1,1,2,6,3,"stim_rig_lar_mky",2,"yes","right"
"118","R_2lURuVyw0bGEC3L",1,26,5,"DNK_01","online","paid","left.c","conform",7,5,5,2,7,1,2,1,1,2,6,3,"stim_rig_sma_mky",2,"yes","right"
"119","R_2lURuVyw0bGEC3L",1,26,5,"DNK_01","online","paid","left.c","conform",7,5,5,2,7,1,2,1,1,2,6,3,"stim_lef_lar_mky",NA,"yes","left"
"120","R_2lURuVyw0bGEC3L",1,26,5,"DNK_01","online","paid","left.c","conform",7,5,5,2,7,1,2,1,1,2,6,3,"stim_lef_sma_mky",NA,"yes","left"
"121","R_5UfJQCcpbTizkij",1,66,4,"DNK_01","online","paid","left.c","conform",1,1,10,10,7,9,10,9,1,1,6,9,"stim_lef_sma_mkn",2,"no","left"
"122","R_5UfJQCcpbTizkij",1,66,4,"DNK_01","online","paid","left.c","conform",1,1,10,10,7,9,10,9,1,1,6,9,"stim_lef_lar_mkn",2,"no","left"
"123","R_5UfJQCcpbTizkij",1,66,4,"DNK_01","online","paid","left.c","conform",1,1,10,10,7,9,10,9,1,1,6,9,"stim_rig_sma_mkn",NA,"no","right"
"124","R_5UfJQCcpbTizkij",1,66,4,"DNK_01","online","paid","left.c","conform",1,1,10,10,7,9,10,9,1,1,6,9,"stim_rig_lar_mkn",NA,"no","right"
"125","R_5UfJQCcpbTizkij",1,66,4,"DNK_01","online","paid","left.c","conform",1,1,10,10,7,9,10,9,1,1,6,9,"stim_rig_lar_mky",2,"yes","right"
"126","R_5UfJQCcpbTizkij",1,66,4,"DNK_01","online","paid","left.c","conform",1,1,10,10,7,9,10,9,1,1,6,9,"stim_rig_sma_mky",2,"yes","right"
"127","R_5UfJQCcpbTizkij",1,66,4,"DNK_01","online","paid","left.c","conform",1,1,10,10,7,9,10,9,1,1,6,9,"stim_lef_lar_mky",NA,"yes","left"
"128","R_5UfJQCcpbTizkij",1,66,4,"DNK_01","online","paid","left.c","conform",1,1,10,10,7,9,10,9,1,1,6,9,"stim_lef_sma_mky",NA,"yes","left"
"129","R_31ZzHIWH3EXUZbn",2,24,5,"TUR_01","online","credit","left.c","conform",4,7,10,3,2,3,5,4,6,3,3,2,"stim_lef_sma_mkn",5,"no","left"
"130","R_31ZzHIWH3EXUZbn",2,24,5,"TUR_01","online","credit","left.c","conform",4,7,10,3,2,3,5,4,6,3,3,2,"stim_lef_lar_mkn",4,"no","left"
"131","R_31ZzHIWH3EXUZbn",2,24,5,"TUR_01","online","credit","left.c","conform",4,7,10,3,2,3,5,4,6,3,3,2,"stim_rig_sma_mkn",NA,"no","right"
"132","R_31ZzHIWH3EXUZbn",2,24,5,"TUR_01","online","credit","left.c","conform",4,7,10,3,2,3,5,4,6,3,3,2,"stim_rig_lar_mkn",NA,"no","right"
"133","R_31ZzHIWH3EXUZbn",2,24,5,"TUR_01","online","credit","left.c","conform",4,7,10,3,2,3,5,4,6,3,3,2,"stim_rig_lar_mky",3,"yes","right"
"134","R_31ZzHIWH3EXUZbn",2,24,5,"TUR_01","online","credit","left.c","conform",4,7,10,3,2,3,5,4,6,3,3,2,"stim_rig_sma_mky",3,"yes","right"
"135","R_31ZzHIWH3EXUZbn",2,24,5,"TUR_01","online","credit","left.c","conform",4,7,10,3,2,3,5,4,6,3,3,2,"stim_lef_lar_mky",NA,"yes","left"
"136","R_31ZzHIWH3EXUZbn",2,24,5,"TUR_01","online","credit","left.c","conform",4,7,10,3,2,3,5,4,6,3,3,2,"stim_lef_sma_mky",NA,"yes","left"
"137","R_4SoQI4AQCouytQB",1,22,4,"TUR_01","online","credit","left.c","conform",3,1,1,1,4,4,1,4,1,1,3,1,"stim_lef_sma_mkn",2,"no","left"
"138","R_4SoQI4AQCouytQB",1,22,4,"TUR_01","online","credit","left.c","conform",3,1,1,1,4,4,1,4,1,1,3,1,"stim_lef_lar_mkn",2,"no","left"
"139","R_4SoQI4AQCouytQB",1,22,4,"TUR_01","online","credit","left.c","conform",3,1,1,1,4,4,1,4,1,1,3,1,"stim_rig_sma_mkn",NA,"no","right"
"140","R_4SoQI4AQCouytQB",1,22,4,"TUR_01","online","credit","left.c","conform",3,1,1,1,4,4,1,4,1,1,3,1,"stim_rig_lar_mkn",NA,"no","right"
"141","R_4SoQI4AQCouytQB",1,22,4,"TUR_01","online","credit","left.c","conform",3,1,1,1,4,4,1,4,1,1,3,1,"stim_rig_lar_mky",2,"yes","right"
"142","R_4SoQI4AQCouytQB",1,22,4,"TUR_01","online","credit","left.c","conform",3,1,1,1,4,4,1,4,1,1,3,1,"stim_rig_sma_mky",2,"yes","right"
"143","R_4SoQI4AQCouytQB",1,22,4,"TUR_01","online","credit","left.c","conform",3,1,1,1,4,4,1,4,1,1,3,1,"stim_lef_lar_mky",NA,"yes","left"
"144","R_4SoQI4AQCouytQB",1,22,4,"TUR_01","online","credit","left.c","conform",3,1,1,1,4,4,1,4,1,1,3,1,"stim_lef_sma_mky",NA,"yes","left"
"145","R_2dX7AcJ3Ot9Ko64",2,51,5,"DNK_01","online","paid","left.c","conform",10,10,10,10,3,5,5,10,1,3,3,5,"stim_lef_sma_mkn",1,"no","left"
"146","R_2dX7AcJ3Ot9Ko64",2,51,5,"DNK_01","online","paid","left.c","conform",10,10,10,10,3,5,5,10,1,3,3,5,"stim_lef_lar_mkn",2,"no","left"
"147","R_2dX7AcJ3Ot9Ko64",2,51,5,"DNK_01","online","paid","left.c","conform",10,10,10,10,3,5,5,10,1,3,3,5,"stim_rig_sma_mkn",NA,"no","right"
"148","R_2dX7AcJ3Ot9Ko64",2,51,5,"DNK_01","online","paid","left.c","conform",10,10,10,10,3,5,5,10,1,3,3,5,"stim_rig_lar_mkn",NA,"no","right"
"149","R_2dX7AcJ3Ot9Ko64",2,51,5,"DNK_01","online","paid","left.c","conform",10,10,10,10,3,5,5,10,1,3,3,5,"stim_rig_lar_mky",1,"yes","right"
"150","R_2dX7AcJ3Ot9Ko64",2,51,5,"DNK_01","online","paid","left.c","conform",10,10,10,10,3,5,5,10,1,3,3,5,"stim_rig_sma_mky",2,"yes","right"
